row_id,column,value,confidence,source
206,article_title,Cytokine profiling of young overweight and obese female African American adults with prediabetes,1.0000,baran
206,article_language,English,1.0000,baran
206,journal_title,Cytokine,1.0000,baran
206,jounral_abbreviation,Cytokine,1.0000,baran
206,journal_issn,1096-0023,1.0000,baran
16,journal_issn,1469-493X,1.0000,baran
41,journal_issn,0363-5023,1.0000,baran
83,journal_issn,1096-0023,1.0000,baran
150,journal_issn,1790-8019,1.0000,baran
209,journal_issn,1473-5725,1.0000,baran
253,journal_issn,1082-3069,1.0000,baran
298,journal_issn,22-Sep,1.0000,baran
341,journal_issn,0077-8923,1.0000,baran
367,journal_issn,0895-6111,1.0000,baran
403,journal_issn,1567-5688,1.0000,baran
413,journal_issn,1469-493X,1.0000,baran
476,journal_issn,0021-9258,1.0000,baran
546,journal_issn,0899-8256,1.0000,baran
613,journal_issn,1469-0756,1.0000,baran
617,journal_issn,0077-8923,1.0000,baran
654,journal_issn,1469-896X,1.0000,baran
663,journal_issn,0020-7640,1.0000,baran
687,journal_issn,0196-0644,1.0000,baran
710,journal_issn,0929-693X,1.0000,baran
730,journal_issn,1521-186X,1.0000,baran
749,journal_issn,0039-1735,1.0000,baran
785,journal_issn,0269-2163,1.0000,baran
796,journal_issn,1469-493X,1.0000,baran
830,journal_issn,1474-5151,1.0000,baran
837,journal_issn,1932-6203,1.0000,baran
838,journal_issn,1473-5725,1.0000,baran
896,journal_issn,0301-1623,1.0000,baran
916,journal_issn,09663622 (ISSN),1.0000,baran
927,journal_issn,0041-1337,1.0000,baran
939,journal_issn,0261-5614,1.0000,baran
957,journal_issn,1467-1107,1.0000,baran
965,journal_issn,1324-3780,1.0000,baran
982,journal_issn,0019-5499,1.0000,baran
988,journal_issn,0190-535X,1.0000,baran
206,article_jissue,1,1.0000,baran
58,article_jissue,1,1.0000,baran
64,article_jissue,1,1.0000,baran
82,article_jissue,1,1.0000,baran
92,article_jissue,1,1.0000,baran
103,article_jissue,1,1.0000,baran
104,article_jissue,1,1.0000,baran
109,article_jissue,1,1.0000,baran
181,article_jissue,1,1.0000,baran
188,article_jissue,1,1.0000,baran
